"hmid","moment","concepts","agency","social","age","country","gender","married","parenthood","reflection","duration"
37928,"I went on an incredible hike with my sister and we got to explore a cool waterfall.","family|vacation","yes","yes","36","USA","m","single","n","24h","half_a_day"
37941,"I attended the 107.03 groove party and had a great time with friends.","party","yes","yes","38.0","USA","m","single","y","24h","at_least_one_hour"
37954,"I was working on editing my dissertation and it went really well.","career","yes","no","32.0","USA","f","single","n","24h","half_a_day"
37973,"Yesterday, I was at the circus with my family, and I was extremely happy","family","yes","yes","31.0","USA","m","married","y","24h","all_day_im_still_feeling_it"
37977,"Asuka kept the NXT Women's Championship.","family","no","yes","27.0","USA","m","single","n","24h","at_least_one_hour"
37998,"My mom made one of my favorite meals yesterday and I was able to have leftovers for today also.","food|family","no","yes","23.0","USA","f","single","n","24h","at_least_one_hour"
38003,"I was able to work online without any problems.","career","yes","no","21","USA","m","single","n","24h","at_least_one_hour"
38011,"I watched some good horror movies over the weekend, including the film Martyrs, which is extremely scary.","entertainment","yes","no","38","USA","m","single","n","24h","at_least_one_hour"
38013,"While playing a team based game, a player I'd never interacted with before complimented my skills and thanked me for healing them so well.","entertainment","yes","yes","22.0","USA","o","single","n","24h","at_least_one_hour"
38016,"I taught a board game to family members who hadn't played much games, after struggling through first game, everyone understood how to play the game and really liked","entertainment|family","yes","yes","31","USA","m","married","y","24h","at_least_one_hour"
38019,"I got out of work and knew that I had the next day off, (Sunday).","career","no","no","33.0","USA","m","married","n","24h","all_day_im_still_feeling_it"
38044,"Hanging out with my son eating chicken soup.","food|family","yes","yes","39.0","USA","f","single","y","24h","all_day_im_still_feeling_it"
38061,"Going to dinner with a group of friends","food","yes","yes","25.0","USA","m","single","n","24h","at_least_one_hour"
38064,"Getting this HIT again.","career","yes","no","24","USA","m","single","n","24h","at_least_one_hour"
38073,"I went out to dinner, and I saw a server who remembered my favorite meal.","food","yes","yes","35","USA","f","married","n","24h","a_few_minutes"
38099,"Watching my son make a new friend at the playground.","family","no","yes","32.0","USA","f","married","y","24h","all_day_im_still_feeling_it"
38106,"I made us a big hearty breakfast consisting of eggs, ham and hash-browns.","food","yes","yes","43","USA","m","single","n","24h","at_least_one_hour"
38129,"I had a glass of wine ALONE.","food","yes","no","54","USA","f","married","y","24h","at_least_one_hour"
38130,"The day became so hot that it felt like summer and I could finally put a dress on.","weather","yes","no","20","LTU","f","single","n","24h","all_day_im_still_feeling_it"
38132,"My daughter surprised me by bringing me dinner.","family|food","no","yes","44.0","USA","f","single","y","24h","at_least_one_hour"
38133,"Went out to dinner with friends and family for my dads birthday.","family|food|party","yes","yes","37","USA","f","single","n","24h","at_least_one_hour"
38136,"I had pizza for lunch, I love pizza makes me happy.","food","yes","no","35.0","USA","m","single","n","24h","at_least_one_hour"
38157,"I saw my best friend yesterday night for dinner.","food","yes","yes","25","USA","f","single","n","24h","half_a_day"
38160,"I found out that I'm going to be having dinner with some friends tonight.","food|party","yes","yes","22.0","USA","m","single","n","24h","all_day_im_still_feeling_it"
38174,"Last night my cat slept peacefully next to me all night, then smiled at me and put his paw lovingly on my hand in the morning when I woke up.","animals","yes","no","51.0","USA","f","single","n","24h","all_day_im_still_feeling_it"
38181,"I got to watch my alma mater play in the Final Four (unfortunately they lost).","entertainment","yes","no","22.0","USA","m","single","n","24h","all_day_im_still_feeling_it"
38187,"Just today I was raking the copious pile of leaves in the front yard when a neighbor came over, introduced himself and helped me.","weather","no","yes","61","USA","f","married","n","24h","all_day_im_still_feeling_it"
38188,"Opening day of baseball season has arrived.","entertainment","no","no","47","USA","m","married","y","24h","all_day_im_still_feeling_it"
38220,"The guy I have been seeing recently for about 3 months came to my house with flowers for no apparent reason.","romance","no","yes","22.0","USA","f","single","n","24h","all_day_im_still_feeling_it"
38223,"I FINISHED SHOVELING THE DRIVEWAY AFTER THE SNOW STORM !","weather|exercise","yes","no","62.0","USA","f","divorced","y","24h","half_a_day"
38225,"I went on a long bike ride, about 22 miles, while I listened to music","exercise|entertainment","yes","no","23.0","USA","m","single","n","24h","half_a_day"
38235,"My favorite soccer team won the game","entertainment","no","no","61","USA","f","married","y","24h","half_a_day"
38260,"I reupped so I got some more weed.","career","yes","no","21.0","USA","m","single","n","24h","half_a_day"
38265,"My baby isn't much of a laugher, but last night she made the cutest laughs that made me laugh myself.","family","no","yes","32.0","USA","f","married","y","24h","a_few_minutes"
38278,"I spoke to my mom on the phone and she's feeling better.","conversation|family","yes","yes","63.0","USA","f","divorced","y","24h","all_day_im_still_feeling_it"
38281,"Mississippi State beat UCONN last night.","entertainment","no","yes","40","USA","f","single","n","24h","all_day_im_still_feeling_it"
38283,"Watching my favorite show while drinking wine.","entertainment|food","yes","no","32.0","USA","f","married","y","24h","at_least_one_hour"
38313,"My daughter called and told me that she just got a new full time job in the town where she and her husband just moved to.","family|conversation","no","yes","88.0","USA","f","married","y","24h","all_day_im_still_feeling_it"
38324,"Having lunch with my mother.","food|family","yes","yes","43","USA","m","single","y","24h","at_least_one_hour"
38327,"My favorite lunch meat was on special and on sale at the grocery store.","food","no","no","30.0","USA","f","single","y","24h","at_least_one_hour"
38333,"I had time to explore a national park.","exercise","yes","no","56","USA","f","single","n","24h","half_a_day"
38340,"Feeling myself get stronger at yoga today because I've been doing it more often lately.","exercise","yes","no","21","USA","f","single","n","24h","a_few_minutes"
38349,"Went to grab a new pair of shoes.","shopping","yes","no","25","USA","m","single","n","24h","half_a_day"
38354,"I got to go home early from work, since I had worked overtime many of the days beforehand and my project completed.","career","yes","no","26.0","USA","f","single","n","24h","half_a_day"
38358,"I got to nap when my daughter napped.","family","yes","yes","35.0","USA","f","married","y","24h","half_a_day"
38359,"made myself a delicious egg salad","food","yes","no","29","USA","m","single","n","24h","at_least_one_hour"
38364,"I took my children to a local festival.","family","yes","yes","33","USA","f","married","y","24h","all_day_im_still_feeling_it"
38392,"I completed a 10 page research paper.","education","yes","no","21.0","USA","f","single","n","24h","a_few_minutes"
38393,"I was happy that I heard my music online.","entertainment","yes","no","43.0","USA","m","single","y","24h","all_day_im_still_feeling_it"
38394,"today i finally taught my dog how to give a high five, it was a big feeling of accomplishment for the two of us after weeks of working on it with slow progress now it's smooth sailing.","animals","yes","no","27.0","USA","f","separated","n","24h","at_least_one_hour"
38410,"My spouse asked me if I wanted to go to a movie with her.","entertainment|family","no","yes","54.0","USA","m","married","y","24h","half_a_day"
38423,"We are working on training our dog, and I was happy when she successfully reacted in the appropriate way.","animals","yes","yes","27","USA","f","single","n","24h","at_least_one_hour"
38429,"I found a travel bug in a Geocache.","shopping","yes","no","51","USA","m","married","n","24h","at_least_one_hour"
38433,"Finish what i intended to do that was hitting my quota and beyond.","education","yes","no","29","PHL","m","single","n","24h","all_day_im_still_feeling_it"
38444,"Tried a new pizza place that opened in my neighborhood and it's very good!","food","yes","yes","35","USA","m","single","n","24h","a_few_minutes"
38463,"I finished a project at work at the end of the day yesterday; it was my goal to finish before I left work.","career","yes","no","34","USA","f","single","n","24h","at_least_one_hour"
38473,"I felt happy when my dog was being extra cuddly.","animals","no","no","26.0","USA","m","single","n","24h","half_a_day"
38483,"I made a delicious dinner and my picky son loved it.","food|family","yes","yes","33","USA","m","married","y","24h","at_least_one_hour"
38499,"I went to the gym and saw the guy that gives me butterflies every time I see him.","exercise|romance","yes","yes","34.0","USA","f","separated","n","24h","all_day_im_still_feeling_it"
38519,"My husband cooked breakfast for us today and cleaned up the kitchen after himself.","food|family","no","yes","58.0","USA","f","married","n","24h","at_least_one_hour"
38530,"i was able to relax and not think about work.","career","yes","no","24","USA","m","single","n","24h","all_day_im_still_feeling_it"
38537,"I was having dinner with my parents and my dad said something really funny that had us laughing for a long time.","family|food|conversation","no","yes","27.0","MEX","f","married","n","24h","a_few_minutes"
38540,"I got a kiss from my wife!","romance|family","yes","yes","54.0","USA","m","married","n","24h","all_day_im_still_feeling_it"
38551,"I finished a project for work that I had been working on for months.","education|career","yes","no","44.0","USA","m","single","n","24h","all_day_im_still_feeling_it"
38562,"Small child teaches  young man.","education","no","yes","29","IND","m","married","y","24h","a_few_minutes"
38564,"my family going to temple","religion|family","no","yes","25","IND","f","married","y","24h","a_few_minutes"
38574,"I got my paycheck deposited into my bank account, and I got a bonus for working super well.","career","yes","no","27","CAN","m","single","n","24h","half_a_day"
38586,"On my way to work my favorite song came on the radio.","entertainment","yes","no","36.0","USA","m","married","y","24h","a_few_minutes"
38597,"I was able to have steak on the grill made for me, so delicious to have a home cooked meal.","food","no","no","29.0","USA","f","single","n","24h",NA
38598,"I was very happy when my son playing with whole day","family|entertainment","yes","yes","29.0","IND","m","married","y","24h","all_day_im_still_feeling_it"
38601,"I made dinner.","food","yes","no","45.0","USA","m","single","n","24h","a_few_minutes"
38614,"My best friend told me that she looks up to me as a sister.","family","no","yes","21.0","USA","f","single","n","24h","all_day_im_still_feeling_it"
38618,"I WENT TO SHOPPING","shopping","yes","no","28","IND","m","married","n","24h","half_a_day"
38626,"I WENT TO TEMPLE","religion","yes","no","27","IND","m","married","n","24h","half_a_day"
38633,"I WENT MOVIE.","entertainment","yes","no","27","IND","f","married","n","24h","half_a_day"
38635,"I met my old class teacher long back","conversation","yes","yes","29","IND","m","married","y","24h","half_a_day"
38653,"While talking to my parents about my day.","conversation|family","yes","yes","24.0","IND","m","single","n","24h","a_few_minutes"
38657,"My boyfriend and I spent the afternoon together and it was  amazing.","romance","yes","yes","19.0",NA,"m","single","n","24h","at_least_one_hour"
38658,"I prepared my best jollof spaghetti so far!","food","yes","no","25","NGA","f","married","y","24h","at_least_one_hour"
38660,"My boyfriends brought me rose this morning and it's not even my birthday.","romance","no","yes","28","USA","f","married","y","24h","at_least_one_hour"
38682,"I ate a good BBQ sandwich with my friend.","food","yes","yes","48","USA","m","married","n","24h","at_least_one_hour"
38694,"Last Friday I brought a new car which was the long waiting dream for we all.","shopping","yes","no","41","IND","m","married","y","24h","all_day_im_still_feeling_it"
38712,"My partner and I had a disagreement which we resolved easily and respectfully, and I am grateful that we were able to communicate with each other so well.","conversation","yes","yes","24.0","USA","f","single","n","24h","all_day_im_still_feeling_it"
38734,"My mother made my favorite dinner in the world, her special meatloaf.","food|family","no","yes","34.0","USA","m","married","y","24h","at_least_one_hour"
38737,"played clash of clans manual game in railroad with group of friends.","entertainment","yes","yes","26","IND","m","married","y","24h","at_least_one_hour"
38780,"Watched my daughter with the easter bunny yesterday.","family","no","yes","41","USA","m","married","y","24h","a_few_minutes"
38788,"My first cousin who is very close to me visited me after a long time.","family|vacation","no","yes","32.0","IND","m",NA,"n","24h","half_a_day"
38794,"I went to church.","religion","yes","no","43","USA","f","married","y","24h","at_least_one_hour"
38800,"I went out to eat at a Mexican restaurant.","food","yes","no","22.0","USA","o","single","n","24h","a_few_minutes"
38816,"I was able to talk with and old friend who I haven't been able to in a long time.","conversation","yes","yes","33.0","USA","m","single","n","24h","half_a_day"
38829,"My puppy graduated from Puppy Level 1 training and he did so well.","animals","no","yes","48","USA","f","married","y","24h","half_a_day"
38841,"My boss called me on a Saturday to tell me he was pleased with my work from the past week.","career","no","yes","26.0","USA","f","single","n","24h","half_a_day"
38848,"I was able to watch an event in sports and drink some beers with some friend last night that was really fun.","entertainment","yes","yes","31","USA","m","single","n","24h","half_a_day"
38877,"I saw the Tar Heels win in the Final Four.","entertainment","yes","no","32.0","USA","m","married","y","24h","a_few_minutes"
38883,"I was doing a microwork transcription that was rather annoying because the audio was not clearly, and I was happy to hit the submit button and be done with with.","career","yes","no","60.0","USA","f","single","n","24h","a_few_minutes"
38892,"Getting to see my cat after being away for 6 months, he was very glad to see me too.","animals","no","yes","41","USA","m","single","n","24h","all_day_im_still_feeling_it"
38902,"I had lunch at a sushi buffet restaurant with my boyfriend and son.","food","yes","yes","39.0","USA","f","single","y","24h","at_least_one_hour"
38904,"Another thing that made me happy in the past 24 hours was being able to purchase a few things I wanted online.","shopping","yes","no","24","USA","m","single","n","24h","all_day_im_still_feeling_it"
38907,"I was able to make some great progress in my programming class.","education","yes","no","34","USA","m","single","n","24h","half_a_day"
38917,"Another event that made me happy was walking my dog.","animals","yes","no","23","USA","m","single","n","24h","a_few_minutes"
38929,"I talked to my daughter on the phone","conversation|family","yes","yes","54","USA","f","married","y","24h","half_a_day"
38947,"My friend sent me a text to say she missed me and was thinking about me, and wanted to go to the hot springs with us soon.","vacation|conversation","no","yes","27.0","USA","f","single","n","24h","a_few_minutes"
38964,"My Mom made brownies","family","no","yes","47.0","USA","f","single","n","24h","half_a_day"
38965,"My spouse made me a great dinner","food|family","no","yes","29.0","VEN","m","married","y","24h","half_a_day"
38968,"My husband and infant daughter are not very sick even though they have the flu.","family","no","yes","32.0","USA","f","married","y","24h","all_day_im_still_feeling_it"
39010,"I learned about a new application called Discord which lets me communicate with other people online and can replace IRC.","conversation|technology","yes","no","38","USA","m","single","n","24h","all_day_im_still_feeling_it"
39012,"My mom saw I wasn't feeling super well and offered to wash my bed clothes when I brought them downstairs to wash them myself.","family","no","yes","22.0","USA","o","single","n","24h","a_few_minutes"
39018,"I received a game that I ordered through the mail yesterday.","shopping|entertainment","yes","no","33.0","USA","m","married","n","24h","all_day_im_still_feeling_it"
39019,"I tried a goat cheese sample, and I love goat cheese.","food","yes","no","23","USA","f","single","n","24h","a_few_minutes"
39021,"I got a hot guys phone number.","conversation","yes","yes","19.0","USA","f","single","n","24h","all_day_im_still_feeling_it"
39062,"I purchased a book for my son that I felt would help him with anxiety.","shopping|family","yes","yes","51.0","USA","f","married","y","24h","all_day_im_still_feeling_it"
39068,"I got a promotion at work.","career","yes","yes","35.0","USA","m","single","y","24h","half_a_day"
39074,"Going to church with my wife.","family|religion","yes","yes","29","USA","m","married","n","24h","a_few_minutes"
39080,"Last night I had a very satisfying intimate encounter with my girlfriend.","romance","yes","yes","40","VEN","m","divorced","y","24h","all_day_im_still_feeling_it"
39094,"Today my hi fi stereo finally working normally, I can browsing internet  with listen my favorite music channel.","entertainment","yes","no","41.0","IDN","m","married","y","24h","at_least_one_hour"
39127,"My girlfriend laying her head on my shoulder and cuddling up next to me while watching the final episode of Game of Thrones, season 6.","entertainment|romance","no","yes","21.0","USA","m","single","n","24h","a_few_minutes"
39130,"Another event that made me happy was being able to watch a movie with my wife last night before bed.","entertainment|romance","yes","yes","25.0","USA","f","married","n","24h","half_a_day"
39151,"I found something healthy to eat after searching, since I really don't want to eat the unhealthy bun.","food","yes","no","18","JAM","f","single","n","24h","a_few_minutes"
39159,"I found out that I'm going to be going on a run with a friend later today.","exercise","yes","yes","22.0","USA","m","single","n","24h","at_least_one_hour"
39175,"My wife and I had some great sex.","romance|family","no","yes","28","USA","m","married","n","24h","all_day_im_still_feeling_it"
39184,"Talking to my significant other.","conversation","yes","yes","29","USA","f","single","n","24h","all_day_im_still_feeling_it"
39187,"I studied for two hours this morning.","education","yes","no","47","USA","m","married","y","24h","half_a_day"
39191,"The person taking my order at the drive-thru was very friendly.","food","yes","yes","27","USA","f","single","n","24h","a_few_minutes"
39192,"Drove to the mountains with my wife and enjoyed the sunset.","vacation","yes","yes","33","PRT","m","married","n","24h","at_least_one_hour"
39202,"I finished a good book","entertainment","yes","no","33","USA","m","married","n","24h","at_least_one_hour"
39216,"I finished my book and I can now go on and begin the next book in the series, and I'm excited to start the next one because of the ending of the first book.","entertainment","yes","no","67","USA","f","married","y","24h","all_day_im_still_feeling_it"
39224,"I received a text from a friend that I hadn't heard from in a long time.","conversation","no","yes","23.0","USA","m","single","n","24h","at_least_one_hour"
39230,"The weather is nice enough today that we are able to cook steaks on the grill outside.","weather|food","no","yes","32.0","USA","f","single","y","24h","at_least_one_hour"
39234,"I watched a very good movie at the cinema","entertainment","yes","no","61","USA","f","married","y","24h","half_a_day"
39247,"Making myself a perfect lunch.","food","yes","no","35","USA","m","divorced","n","24h","at_least_one_hour"
39251,"I rode my bike through the woods.","exercise","yes","no","32","USA","m","single","n","24h","at_least_one_hour"
39252,"I practiced playing the ukulele.","entertainment","yes","no","22","USA","m","married","n","24h","at_least_one_hour"
39267,"I bought  ethical chocolate for a dollar each.","food|shopping","yes","no","33.0","USA","f","married","y","24h","at_least_one_hour"
39268,"I pet my dog a bit n she spazzed out, wiggling and shaking her stumpy tail.","animals","yes","no","27.0","USA","m","single","n","24h","a_few_minutes"
39271,"I had ice cream with my friend Liz.","food","yes","yes","37","USA","m","single","n","24h","half_a_day"
39280,"We ordered pizza tonight.","food","yes","yes","40","USA","f","single","n","24h","all_day_im_still_feeling_it"
39287,"I just learned that the new season of Doctor Who is premiering in mid April instead of August!","entertainment","yes","no","31","USA","f","single","n","24h","at_least_one_hour"
39302,"I enjoyed a brisk walk outside this afternoon.","exercise","yes","no","45.0","USA","m","divorced","n","24h","at_least_one_hour"
39303,"I got to pet my landlord's new puppy and see them attempt to take the puppy on her first walk.","animals","yes","yes","27.0","USA","f","single","n","24h","a_few_minutes"
39307,"Today when I was working on mturk I got some extra dollars as bonus from a requestor.That bonus made my day .The bonus was really motivating and appreciating for me.It was very happy for me to receive bonus for my work.","career","no","yes","27","IND","m","married","n","24h","half_a_day"
39310,"I sat on my couch and watched the activity outdoors.","entertainment","yes","yes","35.0","USA","m","married","n","24h","at_least_one_hour"
39312,"Our daughter came to eat with us at the senior retirement center where my husband and I live.","family|food","yes","yes","88.0","USA","f","married","y","24h","half_a_day"
39314,"I work with disabled adults and one of my clients comforted another client who was feeling sad.","career","yes","yes","52","USA","m","married","y","24h","half_a_day"
39334,"Yesterday I received a small bonus from my place of employement and although it was not a significant amount, I still felt happy about it.","career","no","no","39.0","USA","m","married","y","24h","half_a_day"
39357,"My dog was happy to see my husband when he had been gone for a conference.","animals","no","yes","35.0","USA","f","married","y","24h","a_few_minutes"
39368,"I completed a mission in a game on the phone.","technology|entertainment","yes","no","43","USA","f","married","y","24h","a_few_minutes"
39378,"I went for a long walk this afternoon and it was very pleasant, got some blood in my legs.","exercise","yes","no","40.0","USA","m","single","n","24h","at_least_one_hour"
39386,"I watched 'Inside Out' with my son.","family|entertainment","yes","yes","26","USA","f","married","y","24h","half_a_day"
39387,"I went to church tonight and heard an amazing message about how Christ can and does use us.","religion","yes","yes","30","USA","f","married","y","24h","half_a_day"
39389,"What made me happy was telling my coworkers an April Fool's joke.","career","yes","yes","24","USA","f","single","n","24h","at_least_one_hour"
39397,"I finished a reading project that needed to be completed.","entertainment","yes","no","37","USA","m","single","n","24h","a_few_minutes"
39407,"My dog suffered an injury at the park earlier this week and is starting to use her leg again.","animals","no","no","34.0","USA","f","married","y","24h","all_day_im_still_feeling_it"
39408,"Taking my family out to eat for lunch and not having to wait to be seated.","food","yes","yes","34.0","USA","m","married","y","24h","a_few_minutes"
39442,"I went on a run for the first time in 2 weeks, and the sunny weather during my run put me in a good mood.","exercise|weather","yes","no","29","USA","f","married","n","24h","half_a_day"
39477,"I spent some time with my husband.","romance","yes","yes","30.0","USA","f","married","y","24h","half_a_day"
39480,"I played some video games.","entertainment","yes","no","36.0","SGP","m","single","n","24h","at_least_one_hour"
39481,"I ate really good sushi.","food","yes","no","27","USA","f","single","n","24h","a_few_minutes"
39483,"I signed back up for the WWE Network streaming service and watched a live event with the service.","entertainment","yes","no","24.0","USA","m","single","n","24h","at_least_one_hour"
39490,"I got my test grades back today and I got a B on my test.","education","no","no","35","USA","f","married","y","24h","half_a_day"
39502,"Eating a special treat with my significant other","food","yes","yes","19","USA","m","single","n","24h","at_least_one_hour"
39508,"completed a big issue and was praises by my manager","career","yes","yes","23","IND","f","married","y","24h","all_day_im_still_feeling_it"
39514,"when i gave the money to my parents and they thank me a lot for this","family","yes","yes","30","USA","f","married","y","24h","half_a_day"
39517,"I watched Netflix Live Cancelled and really enjoyed what I watched.","entertainment","yes","no","21.0","USA","f","single","n","24h","at_least_one_hour"
39519,"Another event that made me happy within the past 24 hours was having a nice conversation with my mother on the phone.","conversation|family","yes","yes","32.0","USA","m","married","n","24h","at_least_one_hour"
39520,"I took cute pictures to post on instagram of my trip so far that I love just looking at.","vacation","yes","no","35","USA","f","married","y","24h","at_least_one_hour"
39527,"I made potstickers for dinner and they were fantastic.","food","yes","no","22","USA","m","single","n","24h","a_few_minutes"
39537,"I went swimming at a local YMCA.","exercise","yes","no","66.0","USA","m","divorced","y","24h","at_least_one_hour"
39553,"My father came home today from our village after a long vacation.","vacation|family","no","yes","24","IND","m","single","n","24h","half_a_day"
39559,"I listened to my favorites songs as I cooked this afternoon and I smiled and moved my hips while chopping veggies.","food","yes","no","47.0","USA","f","married","n","24h","a_few_minutes"
39589,"Listening to the great Lauren from IHOP worship music.","entertainment","yes","no","28","USA","m","single","n","24h","at_least_one_hour"
39597,"When my family cooked and buying my favorite clothing for me.","family|food|shopping","no","yes","29.0","IND","m","married","y","24h","a_few_minutes"
39615,"My brother got his first paycheck yesterday and so treated me and my mom to lunch.","family","no","yes","26.0","USA","f","single","n","24h","half_a_day"
39618,"I WENT TO TEMPLE","religion","yes","no","28","IND","f","married","n","24h","at_least_one_hour"
39625,"I WENT TO SHOPPING","shopping","yes","no","27","IND","m","married","n","24h","at_least_one_hour"
39626,"I WENT TO TEMPLE","religion","yes","no","27","IND","f","single","n","24h","half_a_day"
39628,"I WENT TO SHOPPING","shopping","yes","no","28","IND","m","married","y","24h","all_day_im_still_feeling_it"
39632,"I WENT TO SHOPPING","shopping","yes","no","27","IND","f","married","n","24h","all_day_im_still_feeling_it"
39633,"I bought fresh fish from the market at a very low price and it made me happy as the fish was very tasty","food|shopping","yes","no","29","IND","f","married","y","24h","at_least_one_hour"
39641,"I got to have lunch with my spouse.","food","yes","yes","35","USA","f","married","y","24h","at_least_one_hour"
39670,"My boyfriend sent me a text message from work stating that he missed me.","romance","no","yes","36.0","USA","f","single","n","24h","at_least_one_hour"
39672,"Went to theater with my family","family","yes","yes","30.0","IND","f","married","y","24h","at_least_one_hour"
39685,"My team wins a exciting football match today.","entertainment","no","no","31","IND","f","married","y","24h","a_few_minutes"
39697,"I don't need to worry about work for some moment","career","yes","no","24","USA","m","single","n","24h","half_a_day"
39704,"My wife added a couple of snails to her fish tank and I really like one because it's huge I call it Snailzilla.","family","no","yes","55","USA","m","married","n","24h","a_few_minutes"
39720,"I had a bonfire with my family and I loved it.","family","yes","yes","24.0","USA","m","single","n","24h","all_day_im_still_feeling_it"
39732,"I landed a good paying survey on mturk yesterday.","career","yes","no","41","USA","f","married","y","24h","a_few_minutes"
39734,"I was happy about attending the music festival in Raleigh.","entertainment","yes","no","34","DZA","f","single","n","24h","all_day_im_still_feeling_it"
39753,"my first present to my mom by my own money","family","yes","yes","23.0","IND","m","single","n","24h","all_day_im_still_feeling_it"
39763,"My wife made sticky buns for breakfast this AM.","food|family","no","yes","64","USA","m","married","y","24h","at_least_one_hour"
39798,"My baby lifted up her head for a long time while cuddling with my husband.","family","no","yes","40","USA","f","married","y","24h","all_day_im_still_feeling_it"
39800,"The whole family went to a special storytime event together.","family","no","yes","30","USA","f","married","y","24h","at_least_one_hour"
39802,"I had received a bonus for my week effort on my job.","career","no","no","25","USA","f","single","y","24h","all_day_im_still_feeling_it"
39805,"I got a discount on my shirt it was great.","shopping","yes","no","30.0","USA","f","married","n","24h","at_least_one_hour"
39818,"I fell asleep in the arms of my boyfriend, something I don't get to do very often.","romance","yes","yes","28.0","USA","m","divorced","n","24h","all_day_im_still_feeling_it"
39823,"I ate steak and mashed potatoes.","food","yes","no","33.0","USA","m","single","n","24h","all_day_im_still_feeling_it"
39827,"My boyfriend and I had a good conversation over the phone.","conversation|technology","yes","yes","30.0","USA","f","single","n","24h","at_least_one_hour"
39830,"I receive a phone call from the girl i like,about a book we talk yesterday,she want to borrow it and that gives me positive vibes that she might like me.","conversation","yes","yes","36","MKD","m","single","n","24h","all_day_im_still_feeling_it"
39835,"I watched my new favorite movie last night, Fantastic Beasts, and really enjoyed it, again!","entertainment","yes","no","34","USA","m","married","y","24h","at_least_one_hour"
39836,"I resisted temptation and ate a salad for lunch thus being healthy.","food","yes","no","25.0","USA","m","single","n","24h","at_least_one_hour"
39852,"Finally getting to sit down and play some video games","entertainment|technology","no","no","22","USA","m","single","n","24h","at_least_one_hour"
39854,"i was happy today when i heard my favorite song on the radio.","entertainment","yes","no","31","USA","f","single","n","24h","a_few_minutes"
39857,"I got an email from a friend I haven't heard from in a while, and I responded to him.","conversation|career","yes","yes","40","USA","m","married","y","24h","at_least_one_hour"
39870,"I watched the show ""powerless"" with my girlfriend and we both really enjoyed it.","romance","yes","yes","35.0","USA","m","single","n","24h","at_least_one_hour"
39875,"For the first time I made a soft cake successfully and all family members enjoyed and appreciated the taste was not less than a cake ordered from cake tree","food|family","yes","yes","48","IND","m","married","y","24h","half_a_day"
39879,"I watched episodes of my favorite tv show.","entertainment","yes","no","29","USA","m","single","n","24h","at_least_one_hour"
39900,"My cat rolled around on his back in the sunlight and it was ridiculously cute.","animals","no","no","29.0","USA","f","married","n","24h","a_few_minutes"
39913,"I cooked a recipe I saved on the Internet for dinner.","food","yes","no","21.0","USA","o","single","n","24h","at_least_one_hour"
39916,"Another event that made me happy was reading a good book.","entertainment","yes","no","23","USA","m","single","n","24h","at_least_one_hour"
39917,"Enjoyed to Watch New film","entertainment","yes","no","34","IND","m","married","y","24h","half_a_day"
39927,"I stopped by Pizza Hut and got a pepperoni and sausage stuffed crust pizza.","food","yes","no","36","USA","m","single","n","24h","half_a_day"
39938,"An event that made me happy in the past 24 hours was being able to cook a nice meal for people to enjoy.","food","yes","yes","25","USA","m","single","n","24h","half_a_day"
39952,"I cleaned my car and now when I drive around in a clean car I am happy.","shopping","yes","no","32.0","USA","f","single","n","24h","a_few_minutes"
39961,"My student loan payments didn't bounce and my bank account isn't negative.","education","yes","no","30.0","USA","f","single","n","24h","a_few_minutes"
39978,"I played board games with some friends.","entertainment","yes","yes","31.0","USA","m","single","n","24h","at_least_one_hour"
39981,"My friend and I were able to pass a difficult level on a video game we were unable to complete for a long time.","entertainment","yes","yes","25.0","USA","m","single","n","24h","half_a_day"
39997,"I was happy listening to songs from Iron Maiden","entertainment","yes","no","31.0","USA","m","single","n","24h","half_a_day"
39998,"I took a long nap in the afternoon because I felt really tired.","exercise","yes","no","47.0","USA","m","married","y","24h","half_a_day"
40022,"I enjoyed a cappuccino at my favorite coffee shop.","food","yes","yes","42","USA","m","married","n","24h","at_least_one_hour"
40028,"The season premiere of Rick and Morty was amazing, and I had waited so long for it!","entertainment","no","no","22","USA","f","single","n","24h","at_least_one_hour"
40041,"My car had been making a funny noise and I was worried about a big repair bill but I found an honest mechanic who found only a minor problem that was easy and cheap to fix.","shopping","yes","yes","44","USA","m","married","y","24h","all_day_im_still_feeling_it"
40043,"A new season of a show I like started airing.","entertainment","no","no","24","USA","f","single","n","24h","at_least_one_hour"
40049,"I was happy after my husband and I had sex.","romance|family","yes","yes","27.0","USA","f","married","y","24h","at_least_one_hour"
40058,"I had a refreshing soothing shower after the gym.","exercise","yes","no","29","USA","f","single","n","24h","a_few_minutes"
40061,"I brushed my dog who has long hair.","animals","yes","no","51.0","USA","f","married","y","24h","at_least_one_hour"
40064,"I watched my favourite hockey team win their game on television.","entertainment","yes","no","32.0","CAN","m","single","n","24h","at_least_one_hour"
40066,"It was very sunny when I got up this morning.","weather","no","no","25.0","USA","m","married","n","24h","at_least_one_hour"
40067,"I ate my favorite meal for dinner.","food","yes","no","35.0","USA","m","single","y","24h","at_least_one_hour"
40070,"I took a long walk through the park which energized me and cleared my mind.","exercise","yes","no","30","USA","m","single","n","24h","half_a_day"
40074,"The final four was on t.v.","entertainment","no","no","25.0","USA","m","single","y","24h","half_a_day"
40077,"I was was served breakfast in bed today.","food","yes","yes","49","USA","f","married","y","24h","at_least_one_hour"
